id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/2696248,Learner-Centered Alternatives to Social Promotion and Retention: A Talent Development Approach,The Journal of Negro Education,2000,10.2307/2696248,article,research-article,jstor,,2000-10-01,4,69,http://www.jstor.org/stable/2696248,Veronica G. Thomas,Journal of Negro Education,eng,323,337,,students; learner; social promotion; retention; learning; centered; education; school; schools; teachers,8442,15,unigrams; bigrams; trigrams
http://www.jstor.org/stable/10.7709/jnegroeducation.83.3.0420,BOOK/MEDIA REVIEWS,The Journal of Negro Education,2014,10.7709/jnegroeducation.83.3.0420,article,research-article,jstor,,2014-01-01,3,83,http://www.jstor.org/stable/10.7709/jnegroeducation.83.3.0420,Theresa Anasti; Alfred Perkins,Journal of Negro Education,en,420,421,,embree; rosenwald; rosenwald fund; perkins; julius rosenwald; rogers embree; race relations; edwin rogers; rockefeller foundation; rosenwald foundation,1280,2,unigrams; bigrams; trigrams
http://www.jstor.org/stable/2293752,Front Matter,The Journal of Negro Education,1958,10.2307/2293752,article,misc,jstor,,1958-07-01,3,27,http://www.jstor.org/stable/2293752,,Journal of Negro Education,eng,,,,desegregation; education; college; negro college; president; state college; desegregated higher; university; fisk university; preston valien,1086,4,unigrams; bigrams; trigrams
http://www.jstor.org/stable/2295347,Challenge: A Tool for Access to Higher Education,The Journal of Negro Education,1987,10.2307/2295347,article,research-article,jstor,,1987-10-01,4,56,http://www.jstor.org/stable/2295347,A. A. Abraham,Journal of Negro Education,eng,493,498,,nonwhites; negro education; test scores; challenge; awards; native americans; blacks; admission; grades; teacher grades,2030,6,unigrams; bigrams; trigrams
http://www.jstor.org/stable/2966507,Contracted School: An Instrument of Educational Change,The Journal of Negro Education,1971,10.2307/2966507,article,research-article,jstor,,1971-07-01,3,40,http://www.jstor.org/stable/2966507,Otha L. Porter,Journal of Negro Education,eng,233,239,,banneker; school; curriculum; students; learning; banneker school; instructional; curriculum center; education; instructional materials,3388,7,unigrams; bigrams; trigrams
http://www.jstor.org/stable/2295588,"In Quest of Role Models: Change in Black Teacher Representation in Urban School Districts, 1968-1986",The Journal of Negro Education,1989,10.2307/2295588,article,research-article,jstor,,1989-04-01,2,58,http://www.jstor.org/stable/2295588,"Joseph Stewart, <suffix>Jr</suffix>; Kenneth J. Meier; Robert E. England",Journal of Negro Education,eng,140,152,,black teachers; districts; school districts; school; teacher representation; negro education; representation; black faculty; black administrators; black students,5382,13,unigrams; bigrams; trigrams
http://www.jstor.org/stable/10.7709/jnegroeducation.85.2.0172,<em>CoBRAS as a Predictor of Attitudes toward Redistributing Resources to Improve Predominantly Black Schools</em>,The Journal of Negro Education,2016,10.7709/jnegroeducation.85.2.0172,article,research-article,jstor,,2016-01-01,2,85,http://www.jstor.org/stable/10.7709/jnegroeducation.85.2.0172,Rick Sperling; Caroline Kuhn,Journal of Negro Education,en,172,183,,cobras; resource redistribution; blaming; attitudes toward; structure blaming; social dominance; blindness; culture blaming; toward resource; racial,13141,12,unigrams; bigrams; trigrams
http://www.jstor.org/stable/40034561,Introductory Comments,The Journal of Negro Education,2007,10.2307/40034561,article,misc,jstor,,2007-07-01,3,76,http://www.jstor.org/stable/40034561,H. Patrick Swygert,Journal of Negro Education,eng,193,194,,education; negro education; african; african descent; american children; african american children; resegregation; achievement gap; patrick swygert; ruling desegregating,1144,2,unigrams; bigrams; trigrams
http://www.jstor.org/stable/40034665,Using Storytelling to Break the Silence That Binds Us to Sameness in Our Schools,The Journal of Negro Education,2006,10.2307/40034665,article,research-article,jstor,,2006-10-01,4,75,http://www.jstor.org/stable/40034665,Loyce Caruthers,Journal of Negro Education,eng,661,675,,ethnicity class; students; schools; teachers; stories; race ethnicity class; education; storytelling; urban schools; negro education,9612,15,unigrams; bigrams; trigrams
http://www.jstor.org/stable/2696247,National Urban Alliance Professional Development Model for Improving Achievement in the Context of Effective Schools Research,The Journal of Negro Education,2000,10.2307/2696247,article,research-article,jstor,,2000-10-01,4,69,http://www.jstor.org/stable/2696247,Daniel U. Levine; Eric J. Cooper; Asa Hilliard <suffix>III</suffix>,Journal of Negro Education,eng,305,322,,schools; students; levine; instructional; teachers; comprehension; unusually effective; negro education; instructional strategies; nua consultants,10003,18,unigrams; bigrams; trigrams
http://www.jstor.org/stable/2295274,Recruiting and Retaining Minority Graduate Students: A Systems Perspective,The Journal of Negro Education,1988,10.2307/2295274,article,research-article,jstor,,1988-01-01,1,57,http://www.jstor.org/stable/2295274,Carol Olson,Journal of Negro Education,eng,31,42,,minority; graduate; students; minority graduate; graduate student; negro education; retention; recruiting; recruitment; programs,4492,12,unigrams; bigrams; trigrams
http://www.jstor.org/stable/2295370,A Case for the Formation of Strategically Focused Consortia Among HBCUs,The Journal of Negro Education,1992,10.2307/2295370,article,research-article,jstor,,1992-10-01,4,61,http://www.jstor.org/stable/2295370,Clarence E. Hughes,Journal of Negro Education,eng,539,553,,african; social; american; consortia; negro education; african america; segregation era; social disorganization; institutions; american community,7016,15,unigrams; bigrams; trigrams
